id;value;weekday_string;weekday
2018-12-21_15-16;138;Freitag;4
2018-12-21_15-19;72;Freitag;4
2018-12-21_15-22;62;Freitag;4
2018-12-21_15-23;56;Freitag;4
2018-12-21_15-24;257;Freitag;4
2018-12-21_15-25;114;Freitag;4
2018-12-21_15-31;3968;Freitag;4
2018-12-21_15-34;226;Freitag;4
2018-12-21_15-41;1747;Freitag;4
2018-12-21_15-43;1729;Freitag;4
2018-12-21_15-44;3394;Freitag;4
2018-12-21_15-48;68;Freitag;4
2018-12-21_15-49;196;Freitag;4
2018-12-21_15-50;52;Freitag;4
2018-12-21_15-53;24;Freitag;4
2018-12-21_15-55;2479;Freitag;4
2018-12-21_15-56;392;Freitag;4
2018-12-21_15-57;544;Freitag;4
2018-12-21_15-58;17668;Freitag;4
2018-12-21_15-59;55309;Freitag;4
2018-12-21_16-00;75994;Freitag;4
2018-12-21_16-01;113371;Freitag;4
2018-12-21_16-02;126204;Freitag;4
2018-12-21_16-03;138182;Freitag;4
2018-12-21_16-04;177279;Freitag;4
2018-12-21_16-05;192098;Freitag;4
2018-12-21_16-06;227239;Freitag;4
2018-12-21_16-07;276053;Freitag;4
2018-12-21_16-08;279803;Freitag;4
2018-12-21_16-09;283159;Freitag;4
2018-12-21_16-10;281847;Freitag;4
2018-12-21_16-11;280978;Freitag;4
2018-12-21_16-12;282696;Freitag;4
2018-12-21_16-13;281160;Freitag;4
2018-12-21_16-14;278729;Freitag;4
2018-12-21_16-15;281883;Freitag;4
2018-12-21_16-16;279275;Freitag;4
2018-12-21_16-17;291576;Freitag;4
2018-12-21_16-18;293086;Freitag;4
2018-12-21_16-19;279256;Freitag;4
2018-12-21_16-20;284509;Freitag;4
2018-12-21_16-21;289728;Freitag;4
2018-12-21_16-22;271852;Freitag;4
2018-12-21_16-23;286904;Freitag;4
2018-12-21_16-24;269482;Freitag;4
2018-12-21_16-25;273733;Freitag;4
2018-12-21_16-26;272211;Freitag;4
2018-12-21_16-27;280636;Freitag;4
2018-12-21_16-28;274026;Freitag;4
2018-12-21_16-29;275976;Freitag;4
2018-12-21_16-30;268852;Freitag;4
2018-12-21_16-31;277848;Freitag;4
2018-12-21_16-32;277898;Freitag;4
2018-12-21_16-33;269064;Freitag;4
2018-12-21_16-34;272928;Freitag;4
2018-12-21_16-35;273244;Freitag;4
2018-12-21_16-36;275829;Freitag;4
2018-12-21_16-37;273395;Freitag;4
2018-12-21_16-38;272672;Freitag;4
2018-12-21_16-39;269335;Freitag;4
2018-12-21_16-40;270754;Freitag;4
2018-12-21_16-41;271339;Freitag;4
2018-12-21_16-42;271879;Freitag;4
2018-12-21_16-43;270913;Freitag;4
2018-12-21_16-44;263937;Freitag;4
2018-12-21_16-45;267598;Freitag;4
2018-12-21_16-46;266545;Freitag;4
2018-12-21_16-47;269866;Freitag;4
2018-12-21_16-48;271524;Freitag;4
2018-12-21_16-49;264064;Freitag;4
2018-12-21_16-50;265600;Freitag;4
