id;value
2018-12-21_15-16;138
2018-12-21_15-19;72
2018-12-21_15-22;62
2018-12-21_15-23;56
2018-12-21_15-24;257
2018-12-21_15-25;114
2018-12-21_15-31;3968
2018-12-21_15-34;226
2018-12-21_15-41;1747
2018-12-21_15-43;1729
2018-12-21_15-44;3394
2018-12-21_15-48;68
2018-12-21_15-49;196
2018-12-21_15-50;52
2018-12-21_15-53;24
2018-12-21_15-55;2479
2018-12-21_15-56;392
2018-12-21_15-57;544
2018-12-21_15-58;17668
2018-12-21_15-59;55309
2018-12-21_16-00;75994
2018-12-21_16-01;113371
2018-12-21_16-02;126204
2018-12-21_16-03;138182
2018-12-21_16-04;177279
2018-12-21_16-05;192098
2018-12-21_16-06;227239
2018-12-21_16-07;276053
2018-12-21_16-08;279803
2018-12-21_16-09;283159
2018-12-21_16-10;281847
2018-12-21_16-11;280978
2018-12-21_16-12;282696
2018-12-21_16-13;281160
2018-12-21_16-14;278729
2018-12-21_16-15;281883
2018-12-21_16-16;279275
2018-12-21_16-17;291576
2018-12-21_16-18;293086
2018-12-21_16-19;279256
2018-12-21_16-20;284509
2018-12-21_16-21;289728
2018-12-21_16-22;271852
2018-12-21_16-23;286904
2018-12-21_16-24;269482
2018-12-21_16-25;273733
2018-12-21_16-26;272211
2018-12-21_16-27;280636
2018-12-21_16-28;274026
2018-12-21_16-29;275976
2018-12-21_16-30;268852
2018-12-21_16-31;277848
2018-12-21_16-32;277898
2018-12-21_16-33;269064
2018-12-21_16-34;272928
2018-12-21_16-35;273244
2018-12-21_16-36;275829
2018-12-21_16-37;273395
2018-12-21_16-38;272672
2018-12-21_16-39;269335
2018-12-21_16-40;270754
2018-12-21_16-41;271339
2018-12-21_16-42;271879
2018-12-21_16-43;270913
2018-12-21_16-44;263937
2018-12-21_16-45;267598
2018-12-21_16-46;266545
2018-12-21_16-47;269866
2018-12-21_16-48;271524
2018-12-21_16-49;264064
2018-12-21_16-50;265600
2018-12-21_16-51;275050
2018-12-21_16-52;257943
2018-12-21_16-53;266758
2018-12-21_16-54;263431
2018-12-21_16-55;262196
2018-12-21_16-56;260608
2018-12-21_16-57;265085
2018-12-21_16-58;257213
2018-12-21_16-59;262986
2018-12-21_17-00;273555
2018-12-21_17-01;265119
2018-12-21_17-02;260863
2018-12-21_17-03;251950
2018-12-21_17-04;263192
2018-12-21_17-05;260733
2018-12-21_17-06;252991
2018-12-21_17-07;260378
2018-12-21_17-08;255618
2018-12-21_17-09;257506
2018-12-21_17-10;254421
2018-12-21_17-11;259775
2018-12-21_17-12;242697
2018-12-21_17-13;259431
2018-12-21_17-14;250389
2018-12-21_17-15;251373
2018-12-21_17-16;253607
