,0.1,0.9,0.5
2019-01-28 00:05:00,-4016.3217773438,2568.5053710938,-723.8008422852
2019-01-28 00:10:00,-4262.4213867188,2492.6875,-1011.0883789062
2019-01-28 00:15:00,-4004.9350585938,3452.0087890625,235.6567687988
2019-01-28 00:20:00,-3900.4753417969,4716.8408203125,-132.8062744141
2019-01-28 00:25:00,-3567.1149902344,3492.9995117188,591.3065795898
2019-01-28 00:30:00,-3388.8068847656,4864.0795898438,306.8861999512
2019-01-28 00:35:00,-3399.3347167969,4219.8896484375,-258.6885986328
2019-01-28 00:40:00,-4715.0517578125,4743.7622070312,124.2203063965
2019-01-28 00:45:00,-4076.9086914062,5171.6220703125,-246.9141845703
2019-01-28 00:50:00,-4504.001953125,4115.8291015625,-211.721496582
2019-01-28 00:55:00,-3651.2124023438,4070.1555175781,-266.3020019531
2019-01-28 01:00:00,-5644.5390625,2220.708984375,-1695.0678710938
2019-01-28 01:05:00,-6304.4541015625,1776.9733886719,-1577.9758300781
2019-01-28 01:10:00,-6465.3520507812,1104.044921875,-1669.3493652344
2019-01-28 01:15:00,-5574.2255859375,2984.353515625,-1893.1538085938
2019-01-28 01:20:00,-5736.10546875,3377.2553710938,-1489.0953369141
2019-01-28 01:25:00,-6336.830078125,1929.7419433594,-1565.9251708984
2019-01-28 01:30:00,-6554.134765625,2327.3220214844,-2108.8166503906
2019-01-28 01:35:00,-6173.9931640625,2797.6391601562,-1666.4895019531
2019-01-28 01:40:00,-6591.6801757812,1973.6358642578,-2599.4555664062
2019-01-28 01:45:00,-6735.3837890625,1482.3421630859,-2790.2609863281
2019-01-28 01:50:00,-8330.857421875,1637.7253417969,-3335.1149902344
2019-01-28 01:55:00,-7266.162109375,1426.5595703125,-3411.8740234375
2019-01-28 02:00:00,-9282.0107421875,243.8901367188,-4510.1123046875
2019-01-28 02:05:00,-9698.443359375,-233.1069335938,-4607.8916015625
2019-01-28 02:10:00,-9591.9892578125,1436.3828125,-4163.9477539062
2019-01-28 02:15:00,-9464.2998046875,-904.4104003906,-4159.3818359375
2019-01-28 02:20:00,-8842.12109375,1795.201171875,-4029.6389160156
2019-01-28 02:25:00,-8610.7451171875,1044.87890625,-3861.0256347656
2019-01-28 02:30:00,-9560.8388671875,-373.1462402344,-4601.3017578125
2019-01-28 02:35:00,-9667.8447265625,495.6352539062,-4196.1284179688
2019-01-28 02:40:00,-8878.814453125,683.8833007812,-5167.4013671875
2019-01-28 02:45:00,-9030.8623046875,482.9177246094,-4799.8984375
2019-01-28 02:50:00,-10822.7734375,-1876.0067138672,-6038.5756835938
2019-01-28 02:55:00,-11219.66015625,-1565.1713867188,-6080.8051757812
2019-01-28 03:00:00,-12911.95703125,-2132.3510742188,-7057.2104492188
2019-01-28 03:05:00,-11582.5859375,-988.3107910156,-6621.9340820312
2019-01-28 03:10:00,-11108.87890625,-1073.5146484375,-6586.4360351562
2019-01-28 03:15:00,-11158.6328125,-247.3054199219,-5633.0815429688
2019-01-28 03:20:00,-10979.8583984375,-812.6723632812,-6096.646484375
2019-01-28 03:25:00,-12037.3076171875,-1417.7131347656,-6298.376953125
2019-01-28 03:30:00,-11713.1787109375,-1241.9633789062,-5919.0737304688
2019-01-28 03:35:00,-12474.2021484375,1047.0610351562,-6833.7172851562
2019-01-28 03:40:00,-11955.03125,-82.828125,-6608.392578125
2019-01-28 03:45:00,-12140.0361328125,-90.8884429932,-6315.3540039062
2019-01-28 03:50:00,-12254.9775390625,234.6335449219,-6155.4541015625
2019-01-28 03:55:00,-11895.2158203125,-793.185546875,-6043.669921875
2019-01-28 04:00:00,-11942.8828125,-1364.4243164062,-6501.994140625
2019-01-28 04:05:00,-12312.7744140625,-944.4132080078,-7035.44921875
2019-01-28 04:10:00,-12395.7783203125,395.0119628906,-5886.8056640625
2019-01-28 04:15:00,-10719.802734375,1430.2208251953,-5482.7333984375
2019-01-28 04:20:00,-10551.525390625,1497.5999755859,-5648.5883789062
2019-01-28 04:25:00,-9930.677734375,511.6687011719,-4477.0703125
2019-01-28 04:30:00,-10245.09765625,3539.9504394531,-3592.7448730469
2019-01-28 04:35:00,-9491.2265625,2308.4814453125,-2404.8999023438
2019-01-28 04:40:00,-9287.57421875,3130.9575195312,-3029.8422851562
2019-01-28 04:45:00,-8268.8330078125,3990.5529785156,-2796.0981445312
2019-01-28 04:50:00,-9783.0,4613.6865234375,-2174.7526855469
2019-01-28 04:55:00,-7612.013671875,4844.54296875,-959.1176757812
2019-01-28 05:00:00,-6394.1108398438,5054.3286132812,-1417.4848632812
2019-01-28 05:05:00,-5930.076171875,7255.837890625,947.1018066406
2019-01-28 05:10:00,-4267.5014648438,10363.3076171875,1877.2484130859
2019-01-28 05:15:00,-3244.619140625,10484.705078125,3044.1157226562
2019-01-28 05:20:00,-2221.2446289062,12853.7822265625,5216.7661132812
2019-01-28 05:25:00,-958.0786132812,14352.84765625,6890.0473632812
2019-01-28 05:30:00,1029.4870605469,17396.462890625,7657.859375
2019-01-28 05:35:00,2821.3247070312,18696.583984375,10300.2333984375
2019-01-28 05:40:00,4400.4477539062,20047.494140625,11789.654296875
2019-01-28 05:45:00,7332.513671875,21216.572265625,14147.7236328125
2019-01-28 05:50:00,7193.013671875,23579.44921875,15402.77734375
2019-01-28 05:55:00,9528.798828125,28082.0625,18121.009765625
2019-01-28 06:00:00,10899.517578125,28065.5859375,19005.3671875
2019-01-28 06:05:00,15862.9189453125,31701.54296875,22657.2734375
2019-01-28 06:10:00,15425.369140625,35098.69921875,25653.71484375
2019-01-28 06:15:00,18663.859375,36293.45703125,28357.703125
2019-01-28 06:20:00,21842.11328125,41494.984375,31167.353515625
2019-01-28 06:25:00,25513.19921875,43867.33203125,35680.3203125
2019-01-28 06:30:00,28235.333984375,48858.8125,37432.91796875
2019-01-28 06:35:00,31003.779296875,51696.7421875,40437.05078125
2019-01-28 06:40:00,33229.1875,54832.609375,45138.18359375
2019-01-28 06:45:00,36165.671875,61031.67578125,49587.0625
2019-01-28 06:50:00,40619.83203125,64819.46875,53090.44140625
2019-01-28 06:55:00,38713.80859375,68878.34375,54141.7578125
2019-01-28 07:00:00,43389.5078125,76094.84375,60493.43359375
2019-01-28 07:05:00,48260.7421875,76312.875,62372.4296875
2019-01-28 07:10:00,49690.46875,79564.0546875,65715.1328125
2019-01-28 07:15:00,51667.51953125,84027.6953125,67991.6796875
2019-01-28 07:20:00,55239.375,89701.640625,73479.5390625
2019-01-28 07:25:00,54847.26953125,91065.4375,73042.125
2019-01-28 07:30:00,57366.70703125,96003.515625,77316.2265625
