,0.1,0.9,0.5
2019-01-28 00:05:00,-4605.1064453125,2351.2197265625,-983.2478027344
2019-01-28 00:10:00,-2966.8330078125,2405.0083007812,-50.3733215332
2019-01-28 00:15:00,-3322.8879394531,3618.2150878906,-80.9031066895
2019-01-28 00:20:00,-3130.5502929688,4122.1494140625,655.2388916016
2019-01-28 00:25:00,-1799.4990234375,4577.8115234375,1054.2979736328
2019-01-28 00:30:00,-1614.4426269531,5731.1069335938,1624.1641845703
2019-01-28 00:35:00,-1232.34375,5453.2548828125,2396.587890625
2019-01-28 00:40:00,-1315.1232910156,5300.6640625,1915.2087402344
2019-01-28 00:45:00,-904.7092285156,5802.9624023438,2757.9428710938
2019-01-28 00:50:00,-1188.9204101562,6594.1044921875,2431.8798828125
2019-01-28 00:55:00,-1419.75,6636.2431640625,1863.068359375
2019-01-28 01:00:00,-1740.6430664062,6573.265625,2005.2392578125
2019-01-28 01:05:00,-2485.673828125,5545.2705078125,2002.0009765625
2019-01-28 01:10:00,-908.6528320312,6615.1743164062,2451.4638671875
2019-01-28 01:15:00,-3068.5354003906,5599.2338867188,1756.9573974609
2019-01-28 01:20:00,-2341.6171875,7072.3110351562,1284.9904785156
2019-01-28 01:25:00,-1999.0170898438,4818.017578125,1412.8634033203
2019-01-28 01:30:00,-2696.2341308594,5605.1713867188,1941.7170410156
2019-01-28 01:35:00,-2010.7359619141,5977.6489257812,2130.5107421875
2019-01-28 01:40:00,-3257.2416992188,6028.7978515625,1009.3948364258
2019-01-28 01:45:00,-2929.5007324219,4961.91015625,654.1963500977
2019-01-28 01:50:00,-3183.4208984375,5642.8227539062,1981.9721679688
2019-01-28 01:55:00,-4096.5126953125,5546.390625,460.1597900391
2019-01-28 02:00:00,-2851.9499511719,4814.4619140625,818.1314697266
2019-01-28 02:05:00,-3797.3129882812,4606.33984375,821.8404541016
2019-01-28 02:10:00,-3662.6789550781,7007.2294921875,820.8779296875
2019-01-28 02:15:00,-3517.1401367188,6075.1567382812,1345.0576171875
2019-01-28 02:20:00,-2712.7780761719,5374.3081054688,1521.03515625
2019-01-28 02:25:00,-3346.1616210938,6392.0908203125,1610.1704101562
2019-01-28 02:30:00,-3164.5827636719,7254.8881835938,2610.4167480469
2019-01-28 02:35:00,-2327.6372070312,7772.5244140625,1600.5808105469
2019-01-28 02:40:00,-2153.7641601562,7820.9599609375,1530.3779296875
2019-01-28 02:45:00,-2156.50390625,7855.2392578125,2067.4467773438
2019-01-28 02:50:00,-3712.1025390625,7907.4501953125,1164.2325439453
2019-01-28 02:55:00,-3891.7966308594,8696.79296875,1818.1491699219
2019-01-28 03:00:00,-1983.9033203125,6719.5043945312,2628.31640625
2019-01-28 03:05:00,-3641.2084960938,7835.005859375,2734.0502929688
2019-01-28 03:10:00,-3367.2802734375,7928.6479492188,2243.1811523438
2019-01-28 03:15:00,-2402.2451171875,8723.880859375,2097.5776367188
2019-01-28 03:20:00,-2502.4018554688,8790.8349609375,2951.0322265625
2019-01-28 03:25:00,-2013.5776367188,9727.923828125,2780.8195800781
2019-01-28 03:30:00,-18.2001953125,9669.822265625,4466.4052734375
2019-01-28 03:35:00,-1665.125,10140.18359375,4406.5166015625
2019-01-28 03:40:00,-516.9135742188,11542.4501953125,5745.6528320312
2019-01-28 03:45:00,-822.0386962891,12927.1220703125,5483.490234375
2019-01-28 03:50:00,-416.8228759766,12869.96875,6693.6103515625
2019-01-28 03:55:00,1613.7536621094,13195.232421875,6929.91015625
2019-01-28 04:00:00,1366.74609375,13400.46484375,7575.4619140625
2019-01-28 04:05:00,2240.7084960938,14875.4501953125,8046.134765625
2019-01-28 04:10:00,2606.6806640625,15759.974609375,9003.6328125
2019-01-28 04:15:00,2947.9221191406,16913.224609375,9439.734375
2019-01-28 04:20:00,5176.9838867188,19613.94140625,11240.3037109375
2019-01-28 04:25:00,6621.12890625,20311.8671875,11644.56640625
2019-01-28 04:30:00,4989.2534179688,22689.1953125,13776.1748046875
2019-01-28 04:35:00,9349.013671875,23874.373046875,15440.5712890625
2019-01-28 04:40:00,9034.0673828125,26162.912109375,17046.830078125
2019-01-28 04:45:00,11152.4990234375,25071.359375,17986.201171875
2019-01-28 04:50:00,12677.453125,27917.87109375,18986.541015625
